ECOREGION_CODE,ECO_NAME,REALM,BIOME,G200_REGIO,New_Biome,New_Biome_2
NT0221,Magdalena Valley dry forests,NT,2,Tumbesian-Andean Valleys Dry Forests,SA_TrF,SA_TrF
NT0136,Magdalena Valley montane forests,NT,1,Northern Andean Montane Forests,AH,AH
NT0137,Magdalena-Uraba moist forests,NT,1,Choco-Darien Moist Forests,SA_TrF,SA_TrF
NT0402,Magellanic subpolar forests,NT,4, ,SA_TeF,SA_TeF
NT1311,Malpelo Island xeric scrub,NT,13, ,N.A.,N.A.
NT0222,Maracaibo dry forests,NT,2, ,SA_TrF,SA_TrF
NT0138,Marajo varzea,NT,1,Amazon River and Flooded Forests,SA_TrF,SA_TrF
NT0139,Maranhao Babacu forests,NT,1, ,SA_TrF,SA_TrF
NT0223,Maranhon dry forests,NT,2,Tumbesian-Andean Valleys Dry Forests,SA_TrF,SA_TrF
NT0140,Mato Grosso seasonal forests,NT,1, ,SA_TrF,SA_TrF
NA1307,Meseta Central matorral,NA,13,Chihuahuan-Tehuacan Deserts,NA_TrG,NA_TrG
NT1403,Mesoamerican Gulf-Caribbean mangroves,NT,14, ,N.A.,N.A.
NA0608,Mid-Continental Canadian forests,NA,6, ,NA_TeF,NA_TeF
NA1115,Middle Arctic tundra,NA,11, ,NA_TeG,NA_TeG
NA0517,Middle Atlantic coastal forests,NA,5, ,NA_TeF,NA_TeF
NA0609,Midwestern Canadian Shield forests,NA,6, ,NA_TeF,NA_TeF
NT0306,Miskito pine forests,NT,3, ,NA_TrG,NA_TrG
NA0409,Mississippi lowland forests,NA,4, ,NA_TeF,NA_TeF
NA1308,Mojave desert,NA,13, ,NA_TeG,NA_TeG
NA0808,Montana Valley and Foothill grasslands,NA,8, ,NA_TeG,NA_TeG
NT0141,Monte Alegre varzea,NT,1,Amazon River and Flooded Forests,SA_TrF,SA_TrF
NT1312,Motagua Valley thornscrub,NT,13, ,NA_TrG,NA_TrG
NA0610,Muskwa-Slave Lake forests,NA,6,Muskwa/Slave Lake Boreal Forests,NA_TeF,NA_TeF
NT0142,Napo moist forests,NT,1,Napo Moist Forests,SA_TrF,SA_TrF
NA0809,Nebraska Sand Hills mixed grasslands,NA,8,Northern Prairies,NA_TeG,NA_TeG
NT0143,Negro-Branco moist forests,NT,1,Rio Negro-Jurua Moist Forests,SA_TrF,SA_TrF
NA0410,New England-Acadian forests,NA,4, ,NA_TeF,NA_TeF
NA0611,Newfoundland Highland forests,NA,6, ,NA_TeF,NA_TeF
NA0518,North Central Rockies forests,NA,5, ,NA_TeF,NA_TeF
NT0144,Northeastern Brazil restingas,NT,1, ,AH,YM
NA0411,Northeastern coastal forests,NA,4, ,NA_TeF,NA_TeF
NT1006,Northern Andean paramo,NT,10,Northern Andean Paramo,SA_TeG,SA_TeG
NA0519,Northern California coastal forests,NA,5,Pacific temperate rainforests,NA_TeF,NA_TeF
NA0612,Northern Canadian Shield taiga,NA,6,Canadian boreal taiga,NA_TeF,NA_TeF
NA0613,Northern Cordillera forests,NA,6,Muskwa/Slave Lake Boreal Forests,NA_TeF,NA_TeF
NT1404,Northern Mesoamerican Pacific mangroves,NT,14, ,N.A.,N.A.
NA0810,Northern mixed grasslands,NA,8, ,NA_TeG,NA_TeG
NA0520,Northern Pacific coastal forests,NA,5,Pacific temperate rainforests,NA_TeF,NA_TeF
NA0811,Northern short grasslands,NA,8,Northern Prairies,NA_TeG,NA_TeG
NA0812,Northern tall grasslands,NA,8, ,NA_TeG,NA_TeG
NA0521,Northern transitional alpine forests,NA,5, ,NA_TeF,NA_TeF
NA0614,Northwest Territories taiga,NA,6,Canadian boreal taiga,NA_TeF,NA_TeF
NT0145,Northwestern Andean montane forests,NT,1,Northern Andean Montane Forests,AH,AH
NT0146,Oaxacan montane forests,NT,1, ,AH,AH
NA1116,Ogilvie-MacKenzie alpine tundra,NA,11, ,NA_TeG,NA_TeG
NA0522,Okanagan dry forests,NA,5, ,NA_TeG,NA_TeG
NT0147,Orinoco Delta swamp forests,NT,1,Guianan Moist Forests,SA_TrF,SA_TrF
NT0906,Orinoco wetlands,NT,9, ,SA_TrG,SA_TrG
NA0412,Ozark Mountain forests,NA,4, ,NA_TeF,NA_TeF
NA1117,Pacific Coastal Mountain icefields and tundra,NA,11, ,NA_TeG,NA_TeG
NA0813,Palouse grasslands,NA,8, ,NA_TeG,NA_TeG
NT0224,Panamanian dry forests,NT,2, ,NA_TrF,NA_TrF
NT0907,Pantanal,NT,9,Pantanal Flooded Savannas,SA_TrG,SA_TrG
NT0148,Pantanos de Centla,NT,1, ,NA_TrG,NA_TrG
NT0169,Pantepui,NT,1,Guianan Highlands Moist Forests,SA_TrF,SA_TrF
NT1313,Paraguana xeric scrub,NT,13, ,SA_TrG,SA_TrG
